|Tags|GEN|SIM|DIGI|L1|DIGI2RAW|HLT|AOD|MINIAOD|NANOAOD|
|AlCaRecoTriggerBitsRcd / |  |  |  |  |  |  |  |  |  | 
|AlCaRecoTriggerBitsRcd / JetMETDQMTrigger |  |  |  |  |  |  |  |  |  | 
|AlCaRecoTriggerBitsRcd / MuonDQMTrigger |  |  |  |  |  |  |  |  |  | 
|AlCaRecoTriggerBitsRcd / SiStripDQMTrigger |  |  |  |  |  |  |  |  |  | 
|BTagTrackProbability2DRcd / |  |  |  |  |  |  | %GREEN% Yes %ENDCOLOR% |  |  | 
|BTagTrackProbability3DRcd / |  |  |  |  |  |  | %GREEN% Yes %ENDCOLOR% |  |  | 
|BeamSpotObjectsRcd / | %GREEN% Yes %ENDCOLOR% |  |  |  |  | %GREEN% Yes %ENDCOLOR% | %GREEN% Yes %ENDCOLOR% |  |  | 
|BeamSpotOnlineHLTObjectsRcd / |  |  |  |  |  |  |  |  |  | 
|BeamSpotOnlineLegacyObjectsRcd / |  |  |  |  |  |  |  |  |  | 
|CSCAlignmentErrorExtendedRcd / |  |  |  | %GREEN% Yes %ENDCOLOR% |  |  | %GREEN% Yes %ENDCOLOR% |  |  | 
|CSCAlignmentRcd / |  |  |  | %GREEN% Yes %ENDCOLOR% |  |  | %GREEN% Yes %ENDCOLOR% |  |  | 
|CSCBadChambersRcd / |  |  | %GREEN% Yes %ENDCOLOR% |  |  |  | %GREEN% Yes %ENDCOLOR% |  |  | 
|CSCBadStripsRcd / |  |  |  |  |  |  |  |  |  | 
|CSCBadWiresRcd / |  |  |  |  |  |  |  |  |  | 
|CSCChamberMapRcd / |  |  |  |  | %GREEN% Yes %ENDCOLOR% |  | %GREEN% Yes %ENDCOLOR% |  |  | 
|CSCChamberTimeCorrectionsRcd / |  |  |  |  |  |  | %GREEN% Yes %ENDCOLOR% |  |  | 
|CSCCrateMapRcd / |  |  |  |  |  |  | %GREEN% Yes %ENDCOLOR% |  |  | 
|CSCDBChipSpeedCorrectionRcd / |  |  |  |  |  |  | %GREEN% Yes %ENDCOLOR% |  |  | 
|CSCDBCrosstalkRcd / |  |  | %GREEN% Yes %ENDCOLOR% |  |  |  | %GREEN% Yes %ENDCOLOR% |  |  | 
|CSCDBGainsRcd / |  |  | %GREEN% Yes %ENDCOLOR% |  |  |  | %GREEN% Yes %ENDCOLOR% |  |  | 
|CSCDBGasGainCorrectionRcd / |  |  |  |  |  |  |  |  |  | 
|CSCDBL1TPParametersRcd / |  |  |  |  |  |  |  |  |  | 
|CSCDBNoiseMatrixRcd / |  |  | %GREEN% Yes %ENDCOLOR% |  |  |  | %GREEN% Yes %ENDCOLOR% |  |  | 
|CSCDBPedestalsRcd / |  |  | %GREEN% Yes %ENDCOLOR% |  |  |  | %GREEN% Yes %ENDCOLOR% |  |  | 
|CSCDDUMapRcd / |  |  |  |  |  |  |  |  |  | 
|CSCRecoDigiParametersRcd / |  |  | %GREEN% Yes %ENDCOLOR% | %GREEN% Yes %ENDCOLOR% |  |  | %GREEN% Yes %ENDCOLOR% |  |  | 
|CSCRecoGeometryRcd / |  |  | %GREEN% Yes %ENDCOLOR% | %GREEN% Yes %ENDCOLOR% |  |  | %GREEN% Yes %ENDCOLOR% |  |  | 
|CTPPSOpticsRcd / | %GREEN% Yes %ENDCOLOR% |  |  |  |  |  | %GREEN% Yes %ENDCOLOR% |  |  | 
|CTPPSPixelAnalysisMaskRcd / |  |  |  |  |  |  | %GREEN% Yes %ENDCOLOR% |  |  | 
|CTPPSPixelDAQMappingRcd / |  |  |  |  | %GREEN% Yes %ENDCOLOR% |  | %GREEN% Yes %ENDCOLOR% |  |  | 
|CTPPSPixelGainCalibrationsRcd / |  |  | %GREEN% Yes %ENDCOLOR% |  |  |  | %GREEN% Yes %ENDCOLOR% |  |  | 
|DQMXMLFileRcd / SiPixelDQMQTests |  |  |  |  |  |  |  |  |  | 
|DQMXMLFileRcd / SiStripDQMQTests |  |  |  |  |  |  |  |  |  | 
|DTAlignmentErrorExtendedRcd / |  |  |  | %GREEN% Yes %ENDCOLOR% |  |  | %GREEN% Yes %ENDCOLOR% |  |  | 
|DTAlignmentRcd / |  |  |  | %GREEN% Yes %ENDCOLOR% |  |  | %GREEN% Yes %ENDCOLOR% |  |  | 
|DTCCBConfigRcd / |  |  |  | %GREEN% Yes %ENDCOLOR% |  |  |  |  |  | 
|DTDeadFlagRcd / |  |  |  |  |  |  |  |  |  | 
|DTKeyedConfigContainerRcd / |  |  |  |  |  |  |  |  |  | 
|DTKeyedConfigListRcd / |  |  |  | %GREEN% Yes %ENDCOLOR% |  |  |  |  |  | 
|DTMtimeRcd / |  |  |  |  |  |  | %GREEN% Yes %ENDCOLOR% |  |  | 
|DTReadOutMappingRcd / |  |  |  |  | %GREEN% Yes %ENDCOLOR% |  | %GREEN% Yes %ENDCOLOR% |  |  | 
